a/a,CHANGE_DATE,TEMPERATURE,HUMIDITY,MALE,FEMALE,MO_DACUS,FEMALE_POSOSTO,GONIMOTHTA,DAC_METRHSH_DACUS_ID,DHMOS_ID,DHMOS_CODE,DHMOS_DESCR,MIN,SYNOLO_DAKON,METEO_ID,METEO_DESCR,ALTERN_METEO_ID,ALTERN_METEO_DESCR,NOMOS_DESCR
1052,08/21/14,,,1,1,2,0.5,,45906,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1053,08/21/14,,,1,1,2,0.5,,45907,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1054,08/21/14,,,4,2,6,0.33,,45908,16935,84061100,Δ.Δ.Χώρας,2,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1055,08/21/14,,,1,1,2,0.5,,45909,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1056,08/21/14,,,3,2,5,0.4,,45910,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1057,08/21/14,,,2,2,4,0.5,,45911,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1058,08/21/14,,,2,1,3,0.33,,45912,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1059,08/21/14,,,3,2,5,0.4,,45914,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1060,08/21/14,,,2,2,4,0.5,,45915,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1061,08/21/14,,,3,2,5,0.4,,45917,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1062,08/21/14,,,4,4,8,0.5,,45918,16935,84061100,Δ.Δ.Χώρας,4,8,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1063,08/21/14,,,9,6,15,0.4,,45920,16935,84061100,Δ.Δ.Χώρας,6,15,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1064,08/21/14,,,5,3,8,0.38,,45924,16935,84061100,Δ.Δ.Χώρας,3,8,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1065,08/21/14,,,2,2,4,0.5,,45925,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1066,08/21/14,,,4,3,7,0.43,,45927,16935,84061100,Δ.Δ.Χώρας,3,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1067,08/21/14,,,1,1,2,0.5,,45928,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1068,08/21/14,,,3,1,4,0.25,,45929,16935,84061100,Δ.Δ.Χώρας,1,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1069,08/21/14,,,2,2,4,0.5,,45931,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1070,08/21/14,,,2,1,3,0.33,,45932,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1071,08/21/14,,,2,1,3,0.33,,45933,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1072,08/21/14,,,4,2,6,0.33,,45935,16935,84061100,Δ.Δ.Χώρας,2,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1073,09/16/14,,,2,1,3,0.33,,45937,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1074,09/16/14,,,9,7,16,0.44,,45938,16935,84061100,Δ.Δ.Χώρας,7,16,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1075,09/16/14,,,6,4,10,0.4,,45940,16935,84061100,Δ.Δ.Χώρας,4,10,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1076,09/16/14,,,3,2,5,0.4,,45941,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1077,09/16/14,,,2,2,4,0.5,,45942,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1078,09/16/14,,,1,1,2,0.5,,45944,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1079,09/16/14,,,4,3,7,0.43,,45945,16935,84061100,Δ.Δ.Χώρας,3,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1080,09/16/14,,,3,2,5,0.4,,45946,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1081,09/16/14,,,2,1,3,0.33,,45948,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1082,09/16/14,,,1,1,2,0.5,,45949,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1083,09/16/14,,,6,3,9,0.33,,45950,16935,84061100,Δ.Δ.Χώρας,3,9,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1084,09/16/14,,,2,2,4,0.5,,45952,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1085,09/16/14,,,3,2,5,0.4,,45953,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1086,09/16/14,,,1,1,2,0.5,,45954,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1087,09/16/14,,,1,1,2,0.5,,45956,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1088,09/16/14,,,2,2,4,0.5,,45957,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1089,09/16/14,,,4,2,6,0.33,,45959,16935,84061100,Δ.Δ.Χώρας,2,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1090,09/16/14,,,3,2,5,0.4,,45960,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1091,09/16/14,,,2,2,4,0.5,,45961,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1092,09/16/14,,,4,2,6,0.33,,45963,16935,84061100,Δ.Δ.Χώρας,2,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1093,09/16/14,,,3,2,5,0.4,,45964,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1094,09/16/14,,,2,2,4,0.5,,45965,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1095,09/16/14,,,5,3,8,0.38,,45966,16935,84061100,Δ.Δ.Χώρας,3,8,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1096,09/16/14,,,4,2,6,0.33,,45967,16935,84061100,Δ.Δ.Χώρας,2,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1097,09/16/14,,,3,3,6,0.5,,45968,16935,84061100,Δ.Δ.Χώρας,3,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1098,09/16/14,,,3,2,5,0.4,,45969,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1099,09/16/14,,,7,5,12,0.42,,45970,16935,84061100,Δ.Δ.Χώρας,5,12,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1100,09/16/14,,,5,4,9,0.44,,45971,16935,84061100,Δ.Δ.Χώρας,4,9,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1101,09/16/14,,,1,0,1,0,,45972,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1102,09/16/14,,,0,0,0,,,45973,16935,84061100,Δ.Δ.Χώρας,0,0,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1103,09/16/14,,,4,3,7,0.43,,45974,16935,84061100,Δ.Δ.Χώρας,3,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1104,09/16/14,,,2,2,4,0.5,,45975,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1105,09/16/14,,,1,0,1,0,,45976,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1106,09/21/14,,,2,2,4,0.5,,45977,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1107,09/21/14,,,11,8,19,0.42,,45978,16935,84061100,Δ.Δ.Χώρας,8,19,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1108,09/21/14,,,2,2,4,0.5,,45979,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1109,09/21/14,,,2,2,4,0.5,,45980,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1110,09/21/14,,,4,2,6,0.33,,45984,16935,84061100,Δ.Δ.Χώρας,2,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1111,09/21/14,,,5,2,7,0.29,,45985,16935,84061100,Δ.Δ.Χώρας,2,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1112,09/21/14,,,3,2,5,0.4,,45987,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1113,09/21/14,,,2,5,7,0.71,,45989,16935,84061100,Δ.Δ.Χώρας,2,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1114,09/21/14,,,3,1,4,0.25,,45991,16935,84061100,Δ.Δ.Χώρας,1,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1115,09/21/14,,,0,1,1,1,,45992,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1116,09/21/14,,,3,3,6,0.5,,45994,16935,84061100,Δ.Δ.Χώρας,3,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1117,09/21/14,,,4,3,7,0.43,,45995,16935,84061100,Δ.Δ.Χώρας,3,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1118,09/21/14,,,3,3,6,0.5,,45996,16935,84061100,Δ.Δ.Χώρας,3,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1119,09/21/14,,,2,1,3,0.33,,45997,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1120,09/21/14,,,1,0,1,0,,45998,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1121,09/21/14,,,1,1,2,0.5,,45999,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1122,09/21/14,,,3,2,5,0.4,,46000,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1123,09/21/14,,,4,3,7,0.43,,46001,16935,84061100,Δ.Δ.Χώρας,3,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1124,09/21/14,,,4,2,6,0.33,,46002,16935,84061100,Δ.Δ.Χώρας,2,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1125,09/21/14,,,7,4,11,0.36,,46004,16935,84061100,Δ.Δ.Χώρας,4,11,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1126,09/21/14,,,3,2,5,0.4,,46005,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1127,09/21/14,,,4,2,6,0.33,,46006,16935,84061100,Δ.Δ.Χώρας,2,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1128,09/21/14,,,6,4,10,0.4,,46007,16935,84061100,Δ.Δ.Χώρας,4,10,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1129,09/21/14,,,2,1,3,0.33,,46009,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1130,09/21/14,,,5,3,8,0.38,,46010,16935,84061100,Δ.Δ.Χώρας,3,8,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1131,09/21/14,,,1,1,2,0.5,,46011,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1132,09/21/14,,,4,4,8,0.5,,46012,16935,84061100,Δ.Δ.Χώρας,4,8,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1133,09/21/14,,,5,4,9,0.44,,46013,16935,84061100,Δ.Δ.Χώρας,4,9,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1134,09/21/14,,,2,1,3,0.33,,46014,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1135,09/21/14,,,1,1,2,0.5,,46016,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1136,09/21/14,,,2,2,4,0.5,,46017,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1137,09/21/14,,,1,1,2,0.5,,46019,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1138,09/21/14,,,6,8,14,0.57,,46021,16935,84061100,Δ.Δ.Χώρας,6,14,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1139,09/06/14,,,1,1,2,0.5,,46023,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1140,09/06/14,,,2,5,7,0.71,,46025,16935,84061100,Δ.Δ.Χώρας,2,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1141,09/06/14,,,3,2,5,0.4,,46027,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1142,09/06/14,,,0,1,1,1,,46059,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1143,09/06/14,,,2,1,3,0.33,,46061,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1144,09/06/14,,,1,1,2,0.5,,46063,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1145,09/06/14,,,1,0,1,0,,46065,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1146,09/06/14,,,6,3,9,0.33,,46067,16935,84061100,Δ.Δ.Χώρας,3,9,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1147,09/06/14,,,1,0,1,0,,46068,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1148,09/06/14,,,1,0,1,0,,46069,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1149,09/06/14,,,1,0,1,0,,46070,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1150,09/06/14,,,1,1,2,0.5,,46071,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1151,09/06/14,,,4,3,7,0.43,,46072,16935,84061100,Δ.Δ.Χώρας,3,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1152,09/06/14,,,1,0,1,0,,46073,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1153,09/06/14,,,1,1,2,0.5,,46074,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1154,09/06/14,,,0,0,0,,,46078,16935,84061100,Δ.Δ.Χώρας,0,0,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1155,09/06/14,,,2,1,3,0.33,,46080,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1156,09/06/14,,,2,2,4,0.5,,46081,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1157,09/06/14,,,1,1,2,0.5,,46082,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1158,09/06/14,,,2,1,3,0.33,,46084,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1159,09/06/14,,,1,1,2,0.5,,46086,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1160,09/06/14,,,1,1,2,0.5,,46090,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1161,09/06/14,,,7,5,12,0.42,,46094,16935,84061100,Δ.Δ.Χώρας,5,12,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1162,09/06/14,,,7,7,14,0.5,,46095,16935,84061100,Δ.Δ.Χώρας,7,14,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1163,09/06/14,,,1,1,2,0.5,,46096,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1164,09/06/14,,,2,1,3,0.33,,46097,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1165,09/06/14,,,3,2,5,0.4,,46098,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1166,09/06/14,,,2,1,3,0.33,,46099,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1167,09/06/14,,,3,2,5,0.4,,46100,16935,84061100,Δ.Δ.Χώρας,2,5,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1168,09/06/14,,,2,1,3,0.33,,46102,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1169,09/06/14,,,1,1,2,0.5,,46103,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1170,09/06/14,,,2,2,4,0.5,,46104,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1171,09/11/14,,,2,1,3,0.33,,46107,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1172,09/11/14,,,8,7,15,0.47,,46109,16935,84061100,Δ.Δ.Χώρας,7,15,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1173,09/11/14,,,1,1,2,0.5,,46111,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1174,09/11/14,,,1,0,1,0,,46113,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1175,09/11/14,,,3,1,4,0.25,,46114,16935,84061100,Δ.Δ.Χώρας,1,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1176,09/11/14,,,1,2,3,0.67,,46115,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1177,09/11/14,,,1,1,2,0.5,,46117,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1178,09/11/14,,,5,2,7,0.29,,46118,16935,84061100,Δ.Δ.Χώρας,2,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1179,09/11/14,,,1,1,2,0.5,,46120,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1180,09/11/14,,,1,1,2,0.5,,46121,16935,84061100,Δ.Δ.Χώρας,1,2,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
1181,09/11/14,,,2,2,4,0.5,,46122,16935,84061100,Δ.Δ.Χώρας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
